Timestamp,['1cca747d-a3a60633 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts AN']
2017-09-20T00:00:00-06:00,123.15625 V
2017-09-21T00:00:00-06:00,123.25 V
2017-09-22T00:00:00-06:00,123.125 V
2017-09-23T00:00:00-06:00,123.26041666666667 V
2017-09-24T00:00:00-06:00,123.13541666666667 V
2017-09-25T00:00:00-06:00,123.30208333333333 V
2017-09-26T00:00:00-06:00,123.1875 V
2017-09-27T00:00:00-06:00,123.28125 V
2017-09-28T00:00:00-06:00,123.13541666666667 V
2017-09-29T00:00:00-06:00,123.20833333333333 V
2017-09-30T00:00:00-06:00,123.23958333333333 V
2017-10-01T00:00:00-06:00,123.17708333333333 V
2017-10-02T00:00:00-06:00,123.23958333333333 V
2017-10-03T00:00:00-06:00,123.19791666666667 V
2017-10-04T00:00:00-06:00,123.14583333333333 V
2017-10-05T00:00:00-06:00,123.22916666666667 V
2017-10-06T00:00:00-06:00,123.26041666666667 V
2017-10-07T00:00:00-06:00,123.23958333333333 V
2017-10-08T00:00:00-06:00,123.19791666666667 V
2017-10-09T00:00:00-06:00,123.20833333333333 V
2017-10-10T00:00:00-06:00,123.33333333333333 V
2017-10-11T00:00:00-06:00,123.08333333333333 V
2017-10-12T00:00:00-06:00,123.27083333333333 V
2017-10-13T00:00:00-06:00,123.29166666666667 V
2017-10-14T00:00:00-06:00,123.29166666666667 V
2017-10-15T00:00:00-06:00,123.17708333333333 V
2017-10-16T00:00:00-06:00,123.33333333333333 V
2017-10-17T00:00:00-06:00,123.20833333333333 V
2017-10-18T00:00:00-06:00,123.11458333333333 V
2017-10-19T00:00:00-06:00,123.28125 V
2017-10-20T00:00:00-06:00,123.17708333333333 V
2017-10-21T00:00:00-06:00,123.16666666666667 V
2017-10-22T00:00:00-06:00,123.27083333333333 V
2017-10-23T00:00:00-06:00,123.19791666666667 V
2017-10-24T00:00:00-06:00,123.05208333333333 V
2017-10-25T00:00:00-06:00,123.08333333333333 V
2017-10-26T00:00:00-06:00,123.23958333333333 V
2017-10-27T00:00:00-06:00,123.17708333333333 V
2017-10-28T00:00:00-06:00,123.14583333333333 V
2017-10-29T00:00:00-06:00,123.30208333333333 V
2017-10-30T00:00:00-06:00,123.28125 V
2017-10-31T00:00:00-06:00,123.33333333333333 V
2017-11-01T00:00:00-06:00,123.21875 V
2017-11-02T00:00:00-06:00,123.17708333333333 V
2017-11-03T00:00:00-06:00,123.17708333333333 V
2017-11-04T00:00:00-06:00,123.04166666666667 V
2017-11-05T00:00:00-06:00,123.12 V
2017-11-06T00:00:00-07:00,123.07291666666667 V
2017-11-07T00:00:00-07:00,123.05208333333333 V
2017-11-08T00:00:00-07:00,122.95833333333333 V
2017-11-09T00:00:00-07:00,123.26041666666667 V
2017-11-10T00:00:00-07:00,123.14583333333333 V
2017-11-11T00:00:00-07:00,123.16666666666667 V
2017-11-12T00:00:00-07:00,123.1875 V
2017-11-13T00:00:00-07:00,123.26041666666667 V
2017-11-14T00:00:00-07:00,123.40625 V
2017-11-15T00:00:00-07:00,123.21875 V
2017-11-16T00:00:00-07:00,123.11458333333333 V
2017-11-17T00:00:00-07:00,123.16666666666667 V
2017-11-18T00:00:00-07:00,123.11458333333333 V
2017-11-19T00:00:00-07:00,123.22916666666667 V
2017-11-20T00:00:00-07:00,123.07291666666667 V
2017-11-21T00:00:00-07:00,123.21875 V
2017-11-22T00:00:00-07:00,123.11458333333333 V
2017-11-23T00:00:00-07:00,123.29166666666667 V
2017-11-24T00:00:00-07:00,123.14583333333333 V
2017-11-25T00:00:00-07:00,123.11458333333333 V
2017-11-26T00:00:00-07:00,123.29166666666667 V
2017-11-27T00:00:00-07:00,123.09375 V
2017-11-28T00:00:00-07:00,123.15625 V
2017-11-29T00:00:00-07:00,123.1875 V
2017-11-30T00:00:00-07:00,123.09375 V
2017-12-01T00:00:00-07:00,123.03125 V
2017-12-02T00:00:00-07:00,123.11458333333333 V
2017-12-03T00:00:00-07:00,123.19791666666667 V
2017-12-04T00:00:00-07:00,123.09375 V
2017-12-05T00:00:00-07:00,123.09375 V
2017-12-06T00:00:00-07:00,123.03125 V
2017-12-07T00:00:00-07:00,122.98958333333333 V
2017-12-08T00:00:00-07:00,122.96875 V
2017-12-09T00:00:00-07:00,123.16666666666667 V
2017-12-10T00:00:00-07:00,123.21875 V
2017-12-11T00:00:00-07:00,123.125 V
2017-12-12T00:00:00-07:00,123.0625 V
2017-12-13T00:00:00-07:00,123.34375 V
2017-12-14T00:00:00-07:00,123.21875 V
2017-12-15T00:00:00-07:00,123.11458333333333 V
2017-12-16T00:00:00-07:00,123.16666666666667 V
2017-12-17T00:00:00-07:00,123.25 V
2017-12-18T00:00:00-07:00,123.42222222222222 V
2017-12-19T00:00:00-07:00,123.27083333333333 V
2017-12-20T00:00:00-07:00,123.30208333333333 V
2017-12-21T00:00:00-07:00,123.26041666666667 V
2017-12-22T00:00:00-07:00,123.36458333333333 V
2017-12-23T00:00:00-07:00,123.10416666666667 V
2017-12-24T00:00:00-07:00,123.23958333333333 V
2017-12-25T00:00:00-07:00,123.21875 V
2017-12-26T00:00:00-07:00,123.28125 V
2017-12-27T00:00:00-07:00,123.35416666666667 V
2017-12-28T00:00:00-07:00,123.0625 V
2017-12-29T00:00:00-07:00,123.17708333333333 V
2017-12-30T00:00:00-07:00,123.20833333333333 V
2017-12-31T00:00:00-07:00,123.22916666666667 V
